name,tags
"Kettlebell Bent Over Row (female)","{tier2,compound,strength,hypertrophy,horizontal_pull}"
"Kettlebell Bent Arm Pullover with Knees Bent (female)","{tier3,compound,strength,hypertrophy,mobility}"
"Diamond Press","{tier2,compound,strength,hypertrophy,horizontal_press,plateau_breaker}"
"Dumbbell One Arm Thruster","{tier2,compound,strength,power,vertical_press,beginner_friendly}"
"Kettlebell One Arm Thruster","{tier2,compound,strength,power,vertical_press,beginner_friendly}"
"Kettlebell Clean and Jerk","{tier2,compound,strength,power,vertical_press,hinge}"
"Kettlebell One Arm Clean","{tier2,compound,strength,power,hinge,beginner_friendly}"
"Band Incline Bench Press","{tier2,compound,strength,hypertrophy,horizontal_press,low_impact}"
"Cable Bent Over Single Arm Kickback","{tier3,isolation,hypertrophy,beginner_friendly}"
"Smith Drag Curl","{tier2,isolation,hypertrophy,beginner_friendly}"
